"id","osm_id","name","highway","xy_start","xy_end","length","datetime","daytime","distance","travel_time","speed"
88,268266406,"Via Appia","tertiary","40.6266695,17.9207602","40.6281291,17.9233088",269.769,"2025-09-02 10:05:01.515859","day",273,45,22
89,34038714,"Piazza Sapri","unclassified","40.6269046,17.92435","40.6261175,17.9242876",87.564,"2025-09-02 10:05:01.515859","day",86,11,28
90,177113358,"Via Tirolo","tertiary","40.6314216,17.9365606","40.6305652,17.9373533",116.653,"2025-09-02 10:05:01.515859","day",117,35,12
91,653583340,"Via Sant'Angelo","tertiary","40.6261358,17.931437","40.6250114,17.931222",126.21,"2025-09-02 10:05:01.515859","day",127,27,17
92,34149863,"Viale Porta Pia","unclassified","40.6261175,17.9242876","40.6238624,17.9253274",276.255,"2025-09-02 10:05:01.515859","day",276,42,24
94,666974873,"Viale Commenda","tertiary","40.631544,17.9367754","40.6326409,17.9388995",217.118,"2025-09-02 10:05:01.515859","day",223,64,13
95,271251490,"Viale San Giovanni Bosco","tertiary","40.62508673, 17.9288626","40.6259843,17.9282397",131.047,"2025-09-02 10:05:01.515859","day",111,47,9
96,498901354,"Via Appia","tertiary","40.632210066, 17.9304609","40.6357102,17.9367417",663.858,"2025-09-02 10:05:01.515859","day",658,156,15
97,671336026,"Via Imperatore Adriano","residential","40.6299489,17.932291","40.6303549,17.9322415",45.279,"2025-09-02 10:05:01.515859","day",48,16,11
98,661012211,"Piazza Curtatore","unclassified","40.6273918,17.9242061","40.6271903,17.9243617",25.961,"2025-09-02 10:05:01.515859","day",26,4,23
99,34063496,"Via Cappuccini","tertiary","40.6366139,17.9339618","40.6329579,17.9246253",917.772,"2025-09-02 10:05:01.515859","day",917,190,17
100,177113363,"Via Imperatore Augusto","residential","40.6325555,17.9324393","40.6303202,17.9342057",290.328,"2025-09-02 10:05:01.515859","day",288,74,14
101,764621509,"Via Villafranca","tertiary","40.6259843,17.9282397","40.6262354,17.9288881",61.54,"2025-09-02 10:05:01.515859","day",59,17,12
102,764621509,"Piazza Curtatore","unclassified","40.6274241,17.9240946","40.6273918,17.9242061",10.391,"2025-09-02 10:05:01.515859","day",14,4,13
103,694786507,"Viale Aldo Moro","tertiary","40.6261358,17.931437","40.6263117,17.9317997",36.377,"2025-09-02 10:05:01.515859","day",37,7,19
104,667011090,"Via Appia","tertiary","40.6301567,17.9268619","40.6321533,17.9304354",374.99,"2025-09-02 10:05:01.515859","day",380,140,10
105,654298715,"Via Appia","tertiary","40.6295623,17.9258042","40.6301567,17.9268619",111.212,"2025-09-02 10:05:01.515859","day",112,33,12
106,653812340,"Viale Palmiro Togliatti","tertiary","40.6249152,17.9288817","40.622755,17.9246129",433.595,"2025-09-02 10:05:01.515859","day",431,91,17
110,264520197,"Via Lucio Strabone","unclassified","40.6340614, 17.93207917","40.63456834848011, 17.93316837282767",173.084,"2025-09-02 10:05:01.515859","day",295,114,9
111,271590301,"Via Marche","unclassified","40.6303202,17.9342057","40.6284969,17.9358104",243.788,"2025-09-02 10:05:01.515859","day",244,70,13
112,336803749,"Via Irpinia","unclassified","40.6278229,17.9314176","40.6264022,17.9317219",159.9,"2025-09-02 10:05:01.515859","day",159,62,9
113,661845343,"Piazza Curtatore","unclassified","40.627026,17.9245257","40.6271903,17.9243617",22.922,"2025-09-02 10:05:01.515859","day",21,6,13
114,34177713,"Via Tor Pisana","unclassified","40.6310163,17.9405896","40.6301165,17.9413257",117.739,"2025-09-02 10:05:01.515859","day",119,20,21
115,34063491,"Piazza Antonino Di Summa","unclassified","40.6365876,17.9325344","40.636013,17.9327381",66.099,"2025-09-02 10:05:01.515859","day",67,16,15
117,34024917,"Piazza Japigia","unclassified","40.6278229,17.9314176","40.628179,17.9313747",40.874,"2025-09-02 10:05:01.515859","day",43,7,22
118,34063498,"Via Osanna","unclassified","40.6368149,17.9339525","40.6366139,17.9339618",30.241,"2025-09-02 10:05:01.515859","day",30,8,14
119,658864891,"Via Tor Pisana","secondary","40.633235,17.938614","40.6330688,17.9387304",20.923,"2025-09-02 10:05:01.515859","day",20,3,24
120,654315473,"Via Sant'Angelo","tertiary","40.6237709,17.931391","40.6232109,17.9314857",62.7,"2025-09-02 10:05:01.515859","day",64,14,16
